,total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,total_stake_borrow,total_stake_collateral,total_external_stake_lending,weighted_crypto_rate,weighted_stablecoin_rate,weighted_stake_rate,date
11,45517194.88661355,53083166.940354414,37232184.75868557,20954131.06165724,11782229.50267231,22835801.06014797,790097.5606619839,71387535.58373658,1888285.6898072457,0.01574363614794713,0.015013722274631361,4.060013255376106e-05,2023-02-12
12,46610970.56567465,53672742.08099096,45430543.83320871,22267003.533002324,14799384.772786567,24855794.27825415,2367176.4955719295,74192124.35764468,2784082.3414855823,0.01365095508197605,0.013146739096685187,0.0002121019734655498,2023-02-13
13,47355635.72764071,72427836.78309199,37356354.34026992,27126266.22921466,14900006.105626537,26853388.609653596,2451317.221703686,77561127.368192,2433791.252511951,0.012835569471065605,0.017131197403107895,0.00017458849108062722,2023-02-14
14,47038981.38779073,76548612.72015014,39188361.21757517,28777701.052216966,14535102.984927258,28241519.946687784,3347951.22221593,78552528.15143973,3045156.2525602453,0.012131030039370458,0.01820063915428866,0.0002083615791830895,2023-02-15
15,49431763.81097194,77496068.23180123,44754065.50563366,29332969.030434143,16551921.5743355,26060354.636363566,3812086.4719108995,81355854.3157723,2555789.2636286863,0.012600998964363317,0.01903737453015471,0.0003146922262492246,2023-02-16
16,51984194.778102525,80106360.67047083,43884620.04606399,31045061.49410379,17450864.37737866,28665758.849223517,3813109.2780469405,85973286.83405802,2764992.8751889253,0.013244153322380976,0.018108758639062656,0.00028369180267504306,2023-02-17
17,55001173.82762553,83151619.94625299,45736869.62661699,31436852.752331357,16237290.754446045,34786285.86995956,3814982.901169167,89713661.30268802,2603836.823616525,0.013723318454457782,0.015412010193114386,0.00026325691363068105,2023-02-18
18,59237381.56415889,85721849.3544102,45632879.73125311,35046411.65611344,17949267.58550546,34684395.055718966,3816952.6522988053,97969433.44426675,2919259.0360429883,0.015069464543827607,0.0178002072970758,0.00022840742205298604,2023-02-19
19,59448448.62359867,88829213.5416508,46107847.229919896,37128192.93678488,16897355.24982205,37033034.37826363,3952853.2155621084,100218419.44848034,2658394.9152440913,0.014523594187280517,0.018970667324632755,0.0003515718655831331,2023-02-20
20,61211778.10853974,90850663.32373884,46471760.93051362,38556125.579708174,16003619.047423946,36631220.067247584,3699161.6439779648,103643413.6313412,2633168.6683752835,0.014832862113888972,0.021648555261442506,0.0003415717414793231,2023-02-21
21,67706589.78497718,93004789.387885,46560492.033811264,39058079.677565284,15786529.699460778,39495854.16074127,3704757.4241035436,115202613.41642167,2629225.277772657,0.0171193545251939,0.02025501347645537,0.00030348009293404345,2023-02-22
22,69705272.70581843,95749713.86011839,46169164.237987146,40400779.35825123,17342317.93058021,41526511.78252867,4071068.6686744355,117274023.31873636,2540390.092146061,0.017454176960694685,0.019336277424958966,0.0003182549217263338,2023-02-23
23,65734564.007506445,99911915.22694284,49440628.22461476,41951538.60734027,17801448.681484073,42989395.00119682,4072934.458646554,111068278.46290831,2612422.6844223863,0.014137544584956505,0.01926751763877996,0.00032336536683796245,2023-02-24
24,70419855.8883737,105193732.78164536,41352085.41462184,42834375.191637635,20200179.99833606,45544657.51803509,4072368.6347770407,116471309.74366681,3913607.7584237163,0.016429642927451398,0.016977915462437158,0.00026646508558238413,2023-02-25
25,71924569.78326832,110416387.6957279,41996121.2951046,46196749.97322741,20476699.412188753,46076584.98314782,4097046.9781626016,121529321.5935435,3737393.973545315,0.01601249133520658,0.01950773511036621,0.0002699801948413896,2023-02-26
26,83743356.48802114,110704972.76135987,41849011.73958314,46522186.165795736,20737562.47663971,46280711.667181194,4097138.064576257,135779836.05629107,5456922.021766323,0.021068216044624555,0.019483648282315646,0.00019336383212059454,2023-02-27
27,85236718.57073545,116839330.76053159,43210189.48181052,49524545.49620915,20789416.503416985,47042319.02100867,4097501.2949362746,137637089.66152322,3184358.468897598,0.019625998140861415,0.02135905790477277,0.0002152645974368928,2023-02-28
28,86756930.03271496,120019197.91562794,43749906.61590991,51153003.82621153,20703870.646726213,48594077.163062505,4104449.135636758,142465031.08137313,3181030.221981049,0.019645441923785804,0.022141675221919163,0.0002160157426476717,2023-03-01
29,87009818.7864801,129090577.6124673,46941817.45332182,52101561.4368947,21121119.38089431,51293596.53808156,4102750.131456183,142607522.67455736,3336464.4168756395,0.01729314402668547,0.02111284440021267,0.00025585740727649065,2023-03-02
30,85901541.95712562,128649260.61886477,51994353.1298079,53776418.87984783,20616525.65096026,53421191.351410426,3836572.722736424,142774047.5081809,3401494.00894727,0.015559926615387425,0.021977226833658832,8.958938012396255e-05,2023-03-03
31,85566844.27181649,127768629.1920729,53867643.21453002,53194435.78130418,19933050.144141562,55179209.22345093,3832712.9722772213,142612311.28511858,3800847.507332981,0.015085882721384582,0.020959818530712993,8.034367238740533e-05,2023-03-04
32,85666966.43749776,128115010.64131498,55460212.60372164,53175279.43423176,19661701.060266003,57630116.39586939,3867491.52852371,142825832.36659378,3875466.321153357,0.014772900552739925,0.019276890940486246,8.143586769948352e-05,2023-03-05
33,93759672.06610489,128182078.57150732,55597847.55681722,53713411.80109976,19517061.483557146,59656142.42771875,3978322.3828158174,154147907.6486758,3971177.592680991,0.01719818452343861,0.019090818162966674,0.00018520768030250452,2023-03-06
34,95678569.16536452,129539592.94171141,71026753.22318764,55254827.97922911,19462209.64508815,60469364.19386195,3875460.0663046627,160409567.3682291,5350222.742990176,0.015409568908578445,0.01986446157725464,5.273876609889605e-05,2023-03-07
35,96981208.08314466,131734193.7414209,71710514.4196563,57154840.27303921,19553424.750197615,62655970.60075352,3875447.565322442,163678734.72364727,3939078.0596169224,0.015369521812727167,0.019952056356412777,3.570747471236662e-05,2023-03-08
36,123667037.49170849,136196668.42018014,65933345.07109846,57613770.16979961,18856810.952630393,74216663.83973002,3876363.4669944486,195643994.98714784,3522682.483408267,0.025013818601895502,0.01569224291905283,2.8326061816228066e-05,2023-03-09
37,121350769.95428307,152876088.4224403,50546510.089520015,61457159.73016608,15666713.659899147,73054603.25009978,3814719.1543870675,194681997.30404627,3604267.2549844594,0.022782481353822027,0.019529010222830594,2.9684946010153496e-05,2023-03-10
38,121768093.60339142,135602094.84062394,73058337.3562119,63876801.75625127,54796645.03877104,80676393.9193818,3530072.0484416094,185029939.291457,5266308.708356555,0.019875848766995042,0.17640192144569022,7.468736717407302e-05,2023-03-11
39,132824937.06262413,131444503.4040017,85747833.03292795,77007955.86340004,81087538.92168866,93602372.1140356,2423119.0209143595,213102348.2426854,4651964.327619945,0.02147470209863353,0.15731617423700464,6.848830530043759e-05,2023-03-12
40,149220378.18391317,141555827.95279577,89095631.26755166,77592968.5689929,55045966.40411336,88906419.12178698,1306014.8479709865,239717168.17696023,17048756.774590805,0.024773764601821138,0.016901642410726586,2.8375865612843514e-05,2023-03-13
41,152639986.67521054,167715953.43965805,96403869.45217842,73163650.87358749,42699394.36804836,86178912.64992063,2566890.2967598736,246297807.86850438,17585838.31441749,0.02552609963747455,0.015649721795357924,0.0005051534067374809,2023-03-14
42,153877250.6905621,171012695.37168288,83940939.60701153,81539746.84994332,39725316.270243384,89313407.0269315,2652939.555288564,258405124.31830275,18084508.156903025,0.027525302753649374,0.017812163545917442,0.000849007710742937,2023-03-15
43,153339525.90333486,183007894.44329977,88637654.20754358,86936607.40768293,38642339.94541355,106602775.84394802,2830269.673382661,258256657.86724973,6375673.516428744,0.02701425955079213,0.015769852274140874,0.003068340436103602,2023-03-16
44,155228792.79439753,211365176.5311638,93176606.33762524,93927342.25586231,44089119.77756987,104510677.50466901,8171079.860411137,264559941.70985067,9298597.869311683,0.02160504074262485,0.017843984809129052,0.009446834759612124,2023-03-17
45,158219147.317701,211930456.0219009,93510001.58013973,94642472.82331756,46572958.668415286,106873315.26540002,8128796.332163284,268369887.96894762,13456371.781174252,0.021949999254069506,0.01691997459094123,0.0037923326130223085,2023-03-18
